text,label,category,severity,sentiment
Order 527865 shows delivered but I was home all day and no one knocked. Package is nowhere to be found.,__label__1,Delivery Issue,High,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Low,Negative
Your live chat support disconnected in the middle of our conversation and I never received a follow-up.,__label__1,Customer Service,Medium,Negative
An unauthorized charge of $83.81 appeared on my account. I did not authorize this transaction and want it reversed.,__label__1,Payment Issue,Low,Negative
"I was skeptical after my order was delayed, but your team tracked it down and delivered it the next day. Well done.",__label__2,Product Quality,Low,Positive
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Medium,Negative
Order 125401 shows delivered but I was home all day and no one knocked. Package is nowhere to be found.,__label__1,Delivery Issue,Low,Negative
"After contacting support, my order was re-shipped immediately with express delivery at no extra charge.",__label__2,Product Quality,Low,Positive
Your live chat support disconnected in the middle of our conversation and I never received a follow-up.,__label__1,Customer Service,Medium,Negative
Wrong item was delivered to my address. I ordered laptop but received something completely different. Please send the correct item.,__label__1,Delivery Issue,Low,Negative
Every time I contact support I get transferred to a different department and have to explain my issue from scratch. Very frustrating.,__label__1,Customer Service,Medium,Negative
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Medium,Negative
Your agent promised to call me back within 24 hours. It has been 17 days and I have heard nothing.,__label__1,Customer Service,Medium,Negative
I have been waiting 17 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,Medium,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Low,Negative
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,Medium,Negative
My card was charged $135.97 but the order total was $153.79. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,Low,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Medium,Negative
The refund amount I received is incorrect — I was refunded $12.42 but I paid $168.90. Please correct this immediately.,__label__1,Refund Issue,Medium,Negative
I'm pleased to say the issue was fully resolved. Your support team was professional and efficient.,__label__2,Refund Issue,Low,Positive
My refund was processed faster than expected. Thank you for the smooth resolution.,__label__2,Payment Issue,Low,Positive
I received a defective unit. The smartwatch has a manufacturing defect that makes it unusable. I want a replacement.,__label__1,Product Quality,Low,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,High,Negative
"After contacting support, my order was re-shipped immediately with express delivery at no extra charge.",__label__2,Product Quality,Low,Positive
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,Low,Negative
I received a defective unit. The backpack has a manufacturing defect that makes it unusable. I want a replacement.,__label__1,Product Quality,Medium,Negative
The courier left my package outside in the rain and it got completely damaged. This is terrible handling of deliveries.,__label__1,Delivery Issue,High,Negative
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,High,Negative
My refund request has been pending for 19 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,Medium,Negative
My payment failed at checkout but my card was still charged. I did not receive any order confirmation or product.,__label__1,Payment Issue,Medium,Negative
I have been waiting 16 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
"The product is nothing like the description. The material is cheap and flimsy, completely unlike what was advertised.",__label__1,Product Quality,Low,Negative
I have been waiting 21 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
Customer support was extremely helpful and resolved my billing error without any hassle.,__label__2,Refund Issue,Low,Positive
My package was marked as delivered but I never received it. I checked with my neighbors and no one has it. I need this resolved immediately.,__label__1,Delivery Issue,Low,Negative
I paid for express shipping but my order arrived 13 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Medium,Negative
Item arrived with visible damage — scratches and dents that look like it was a returned or used product.,__label__1,Product Quality,Medium,Negative
Your agent promised to call me back within 24 hours. It has been 5 days and I have heard nothing.,__label__1,Customer Service,Low,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,High,Negative
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,Medium,Negative
I ordered phone case but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Medium,Negative
I have been waiting 12 days for my refund and keep getting told to wait another 3-5 business days. This is unacceptable.,__label__1,Refund Issue,Medium,Negative
The item I received is clearly not authentic. The quality is nothing like what was shown in the product images.,__label__1,Product Quality,Low,Negative
I was issued a store credit instead of a refund to my original payment method. I did not agree to this. Please refund to my card.,__label__1,Refund Issue,High,Negative
I paid for express shipping but my order arrived 17 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Low,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,High,Negative
My account shows a pending charge of $153.93 that has been there for 3 days. Please clarify this charge.,__label__1,Payment Issue,Low,Negative
Your representative confirmed my refund over the phone but two weeks later I have received nothing.,__label__1,Refund Issue,Medium,Negative
I cancelled my order within minutes of placing it but was still charged. Your cancellation policy says orders can be cancelled within 1 hour.,__label__1,Payment Issue,Medium,Negative
Customer support was extremely helpful and resolved my billing error without any hassle.,__label__2,Customer Service,Low,Positive
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Medium,Negative
I paid for express shipping but my order arrived 12 days late. I want a refund on the shipping fee at minimum.,__label__1,Delivery Issue,Low,Negative
I submitted a support ticket 3 days ago and have received no response. I need this issue resolved urgently.,__label__1,Customer Service,Medium,Negative
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Low,Negative
An unauthorized charge of $188.04 appeared on my account. I did not authorize this transaction and want it reversed.,__label__1,Payment Issue,High,Negative
I was charged for an item that was out of stock. You processed payment without having the item available.,__label__1,Payment Issue,Medium,Negative
I returned the product in original condition within the return window and my refund was denied. I want a full explanation.,__label__1,Refund Issue,Medium,Negative
I returned a defective item and only received a partial refund. I want the full amount back as the fault was on your end.,__label__1,Refund Issue,Medium,Negative
My card was charged $32.40 but the order total was $158.10. I was overcharged and want the difference refunded immediately.,__label__1,Payment Issue,Medium,Negative
I have been on hold for over an hour and still haven't spoken to anyone. This level of service is completely unacceptable.,__label__1,Customer Service,Low,Negative
I ordered phone case but received a counterfeit version. The branding looks fake and the quality is terrible.,__label__1,Product Quality,Medium,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Delivery Issue,Low,Positive
The refund appeared in my account within 2 business days. Excellent service.,__label__2,Product Quality,Low,Positive
Item arrived with visible damage — scratches and dents that look like it was a returned or used product.,__label__1,Product Quality,High,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Medium,Negative
I was promised a full refund within 5-7 business days but it has been 10 days and nothing has appeared in my account.,__label__1,Refund Issue,Medium,Negative
My refund request has been pending for 18 days. Every time I call I get a different story. I need this resolved now.,__label__1,Refund Issue,Medium,Negative
Your return policy says 30 days but your team is now refusing to process my refund claiming the window has passed. This is misleading.,__label__1,Refund Issue,Medium,Negative
My payment failed at checkout but my card was still charged. I did not receive any order confirmation or product.,__label__1,Payment Issue,High,Negative
My replacement arrived quickly and the product works perfectly. Happy with how this was handled.,__label__2,Refund Issue,Low,Positive
Wrong item was delivered to my address. I ordered smartwatch but received something completely different. Please send the correct item.,__label__1,Delivery Issue,Medium,Negative
The product fell apart after just one week of use. This is clearly a quality control issue on your end.,__label__1,Product Quality,Low,Negative
I placed an order 8 days ago and it hasn't been delivered yet. The tracking shows it left the warehouse but nothing since. Where is my package?,__label__1,Delivery Issue,Low,Negative
I received a full refund and a discount voucher for the inconvenience. Very happy with the resolution.,__label__2,Refund Issue,Low,Positive
